[2025-05-08T16:58:09.266Z] Starting monitor process...
[2025-05-08T16:58:09.421Z] Received message: [{"type":"configure","sequence":0,"options":{"cwd":"/home/hiansdt/Documents/Projects/c3labs/vparking/VirtualTruck-frontend","dockerCLI":"docker","dockerComposeCLI":{"version":"2.34.0","cmd":"docker","args":["compose"]},"env":{"ALACRITTY_LOG":"/tmp/Alacritty-2849.log","ALACRITTY_SOCKET":"/run/user/1000/Alacritty-:0-2849.sock","ALACRITTY_WINDOW_ID":"37748739","CHROME_DESKTOP":"code.desktop","COLORTERM":"truecolor","DBUS_SESSION_BUS_ADDRESS":"unix:path=/run/user/1000/bus","DEBUGINFOD_URLS":"https://debuginfod.archlinux.org ","DESKTOP_SESSION":"i3","DISPLAY":":0","ELECTRON_NO_ATTACH_CONSOLE":"1","GDK_BACKEND":"x11","GDMSESSION":"i3","GTK3_MODULES":"xapp-gtk3-module","GTK_MODULES":"canberra-gtk-module","HOME":"/home/hiansdt","I3SOCK":"/run/user/1000/i3/ipc-socket.2062","LANG":"en_US.UTF-8","LC_ADDRESS":"pt_BR.UTF-8","LC_IDENTIFICATION":"pt_BR.UTF-8","LC_MEASUREMENT":"pt_BR.UTF-8","LC_MONETARY":"pt_BR.UTF-8","LC_NAME":"pt_BR.UTF-8","LC_NUMERIC":"pt_BR.UTF-8","LC_PAPER":"pt_BR.UTF-8","LC_TELEPHONE":"pt_BR.UTF-8","LC_TIME":"pt_BR.UTF-8","LESS":"-R","LOGNAME":"hiansdt","LSCOLORS":"Gxfxcxdxbxegedabagacad","LS_COLORS":"rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.7z=01;31:*.ace=01;31:*.alz=01;31:*.apk=01;31:*.arc=01;31:*.arj=01;31:*.bz=01;31:*.bz2=01;31:*.cab=01;31:*.cpio=01;31:*.crate=01;31:*.deb=01;31:*.drpm=01;31:*.dwm=01;31:*.dz=01;31:*.ear=01;31:*.egg=01;31:*.esd=01;31:*.gz=01;31:*.jar=01;31:*.lha=01;31:*.lrz=01;31:*.lz=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.lzo=01;31:*.pyz=01;31:*.rar=01;31:*.rpm=01;31:*.rz=01;31:*.sar=01;31:*.swm=01;31:*.t7z=01;31:*.tar=01;31:*.taz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tgz=01;31:*.tlz=01;31:*.txz=01;31:*.tz=01;31:*.tzo=01;31:*.tzst=01;31:*.udeb=01;31:*.war=01;31:*.whl=01;31:*.wim=01;31:*.xz=01;31:*.z=01;31:*.zip=01;31:*.zoo=01;31:*.zst=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:","MAIL":"/var/spool/mail/hiansdt","MOTD_SHOWN":"pam","NO_AT_BRIDGE":"1","OLDPWD":"/home/hiansdt/Documents/Projects/c3labs","ORIGINAL_XDG_CURRENT_DESKTOP":"i3","P9K_SSH":"0","P9K_TTY":"old","PAGER":"less","PATH":"/home/hiansdt/.local/bin:/usr/local/bin:/usr/bin:/bin:/usr/local/sbin:/var/lib/flatpak/exports/bin:/usr/bin/site_perl:/usr/bin/vendor_perl:/usr/bin/core_perl:/var/lib/snapd/snap/bin","PWD":"/home/hiansdt/Documents/Projects/c3labs/vparking","SHELL":"/usr/bin/zsh","SHLVL":"2","TERM":"alacritty","USER":"hiansdt","VSCODE_CLI":"1","VSCODE_CODE_CACHE_PATH":"/home/hiansdt/.config/Code/CachedData/17baf841131aa23349f217ca7c570c76ee87b957","VSCODE_CRASH_REPORTER_PROCESS_TYPE":"extensionHost","VSCODE_CWD":"/home/hiansdt/Documents/Projects/c3labs/vparking","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","VSCODE_IPC_HOOK":"/run/user/1000/vscode-a176c707-1.99-main.sock","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en-us\",\"osLocale\":\"en-us\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/opt/visual-studio-code/resources/app/out/nls.messages.json\",\"locale\":\"en-us\",\"availableLanguages\":{}}","VSCODE_PID":"3004","WINDOWID":"37748739","XAUTHORITY":"/home/hiansdt/.Xauthority","XDG_CURRENT_DESKTOP":"i3","XDG_DATA_DIRS":"/home/hiansdt/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share:/usr/share:/var/lib/snapd/desktop","XDG_GREETER_DATA_DIR":"/var/lib/lightdm-data/hiansdt","XDG_RUNTIME_DIR":"/run/user/1000","XDG_SEAT":"seat0","XDG_SEAT_PATH":"/org/freedesktop/DisplayManager/Seat0","XDG_SESSION_CLASS":"user","XDG_SESSION_DESKTOP":"i3","XDG_SESSION_ID":"2","XDG_SESSION_PATH":"/org/freedesktop/DisplayManager/Session0","XDG_SESSION_TYPE":"x11","XDG_VTNR":"7","ZSH":"/home/hiansdt/.oh-my-zsh","_":"/opt/visual-studio-code/bin/../code","_P9K_SSH_TTY":"/dev/pts/0","_P9K_TTY":"/dev/pts/0","ELECTRON_RUN_AS_NODE":"1","APPLICATION_INSIGHTS_NO_DIAGNOSTIC_CHANNEL":"1","APPLICATIONINSIGHTS_CONFIGURATION_CONTENT":"{}","SSH_ASKPASS":"/home/hiansdt/.vscode/extensions/ms-vscode-remote.remote-containers-0.409.0/scripts/ssh-askpass.sh","SSH_ASKPASS_REQUIRE":"force","VSCODE_SSH_ASKPASS_NODE":"/opt/visual-studio-code/code","VSCODE_SSH_ASKPASS_MAIN":"/home/hiansdt/.vscode/extensions/ms-vscode-remote.remote-containers-0.409.0/dist/common/sshAskpass.js","VSCODE_SSH_ASKPASS_HANDLE":"/run/user/1000/ssh-askpass-8db1fef1-1cdf-4902-822c-da99885b4b0e.sock","DOCKER_CONTEXT":"default"},"containerId":"052db7b7d557f505e6a2754a79a3fe3d21fecb298c719781270b85fc5845a453","user":"node","sessionId":"1d6d2eaa-8ef0-429b-afbc-0d5e764750f11746723474611","projectName":"virtualtruck-frontend","composeFiles":["/home/hiansdt/Documents/Projects/c3labs/vparking/VirtualTruck-frontend/docker-compose.yml","/home/hiansdt/Documents/Projects/c3labs/vparking/VirtualTruck-frontend/docker-compose.override.yml","/home/hiansdt/Documents/Projects/c3labs/vparking/VirtualTruck-frontend/.devcontainer/docker-compose.yml"],"service":"app","logLevel":2,"delay":10000}}]
[2025-05-08T16:59:09.445Z] Received message: []
[2025-05-08T17:00:09.453Z] Received message: []
[2025-05-08T17:01:09.463Z] Received message: []
[2025-05-08T17:02:09.470Z] Received message: []
[2025-05-08T17:03:09.477Z] Received message: []
[2025-05-08T17:04:09.482Z] Received message: []
[2025-05-08T17:05:09.488Z] Received message: []
[2025-05-08T17:06:09.497Z] Received message: []
[2025-05-08T17:07:09.503Z] Received message: []
