[2025-05-23T13:58:51.287Z] Starting monitor process...
[2025-05-23T13:58:51.300Z] Received message: [{"type":"configure","sequence":0,"options":{"cwd":"/home/hiansdt/projects/c3labs/vita/enchiridion-backend","dockerCLI":"docker","dockerComposeCLI":{"version":"2.36.1","cmd":"docker","args":["compose"]},"env":{"CHROME_DESKTOP":"code.desktop","COLORTERM":"truecolor","DBUS_SESSION_BUS_ADDRESS":"unix:path=/run/user/1000/bus","DEBUGINFOD_URLS":"https://debuginfod.archlinux.org ","DISPLAY":":0","ELECTRON_NO_ATTACH_CONSOLE":"1","GDK_BACKEND":"x11","GTK_MODULES":"canberra-gtk-module","HOME":"/home/hiansdt","I3SOCK":"/run/user/1000/i3/ipc-socket.1126","INVOCATION_ID":"53fd1224a75f45568bc56a869f75845a","KITTY_INSTALLATION_DIR":"/usr/lib/kitty","KITTY_PID":"2132","KITTY_PUBLIC_KEY":"1:vV6YP<&w<Y1j}RsS+0JLEPQ%#J1@;)Wc*!kDS{by","KITTY_WINDOW_ID":"1","LANG":"en_US.UTF-8","LESS":"-R","LOGNAME":"hiansdt","LSCOLORS":"Gxfxcxdxbxegedabagacad","LS_COLORS":"rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.7z=01;31:*.ace=01;31:*.alz=01;31:*.apk=01;31:*.arc=01;31:*.arj=01;31:*.bz=01;31:*.bz2=01;31:*.cab=01;31:*.cpio=01;31:*.crate=01;31:*.deb=01;31:*.drpm=01;31:*.dwm=01;31:*.dz=01;31:*.ear=01;31:*.egg=01;31:*.esd=01;31:*.gz=01;31:*.jar=01;31:*.lha=01;31:*.lrz=01;31:*.lz=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.lzo=01;31:*.pyz=01;31:*.rar=01;31:*.rpm=01;31:*.rz=01;31:*.sar=01;31:*.swm=01;31:*.t7z=01;31:*.tar=01;31:*.taz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tgz=01;31:*.tlz=01;31:*.txz=01;31:*.tz=01;31:*.tzo=01;31:*.tzst=01;31:*.udeb=01;31:*.war=01;31:*.whl=01;31:*.wim=01;31:*.xz=01;31:*.z=01;31:*.zip=01;31:*.zoo=01;31:*.zst=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.jxl=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:","MAIL":"/var/spool/mail/hiansdt","MEMORY_PRESSURE_WATCH":"/sys/fs/cgroup/system.slice/ly.service/memory.pressure","MEMORY_PRESSURE_WRITE":"c29tZSAyMDAwMDAgMjAwMDAwMAA=","MOTD_SHOWN":"pam","NO_AT_BRIDGE":"1","OLDPWD":"/home/hiansdt","ORIGINAL_XDG_CURRENT_DESKTOP":"undefined","PAGER":"less","PATH":"/home/hiansdt/.local/bin:/sbin:/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/usr/bin/site_perl:/usr/bin/vendor_perl:/usr/bin/core_perl","PWD":"/home/hiansdt/projects/c3labs/vita/enchiridion-backend","SHELL":"/usr/bin/zsh","SHLVL":"2","SYSTEMD_EXEC_PID":"909","TERM":"xterm-kitty","TERMINFO":"/usr/lib/kitty/terminfo","USER":"hiansdt","VSCODE_CLI":"1","VSCODE_CODE_CACHE_PATH":"/home/hiansdt/.config/Code/CachedData/848b80aeb52026648a8ff9f7c45a9b0a80641e2e","VSCODE_CRASH_REPORTER_PROCESS_TYPE":"extensionHost","VSCODE_CWD":"/home/hiansdt/projects/c3labs/vita/enchiridion-backend","VSCODE_ESM_ENTRYPOINT":"vs/workbench/api/node/extensionHostProcess","VSCODE_HANDLES_UNCAUGHT_ERRORS":"true","VSCODE_IPC_HOOK":"/run/user/1000/vscode-a176c707-1.10-main.sock","VSCODE_NLS_CONFIG":"{\"userLocale\":\"en-us\",\"osLocale\":\"en-us\",\"resolvedLanguage\":\"en\",\"defaultMessagesFile\":\"/opt/visual-studio-code/resources/app/out/nls.messages.json\",\"locale\":\"en-us\",\"availableLanguages\":{}}","VSCODE_PID":"2264","WINDOWID":"18874382","XAUTHORITY":"/run/user/1000/lyxauth","XDG_RUNTIME_DIR":"/run/user/1000","XDG_SEAT":"seat0","XDG_SESSION_CLASS":"user","XDG_SESSION_DESKTOP":"i3-with-shmlog","XDG_SESSION_ID":"1","XDG_SESSION_TYPE":"x11","XDG_VTNR":"2","ZSH":"/home/hiansdt/.oh-my-zsh","_":"/opt/visual-studio-code/bin/../code","ELECTRON_RUN_AS_NODE":"1","APPLICATION_INSIGHTS_NO_DIAGNOSTIC_CHANNEL":"1","APPLICATIONINSIGHTS_CONFIGURATION_CONTENT":"{}","SSH_ASKPASS":"/home/hiansdt/.vscode/extensions/ms-vscode-remote.remote-containers-0.413.0/scripts/ssh-askpass.sh","SSH_ASKPASS_REQUIRE":"force","VSCODE_SSH_ASKPASS_NODE":"/opt/visual-studio-code/code","VSCODE_SSH_ASKPASS_MAIN":"/home/hiansdt/.vscode/extensions/ms-vscode-remote.remote-containers-0.413.0/dist/common/sshAskpass.js","VSCODE_SSH_ASKPASS_HANDLE":"/run/user/1000/ssh-askpass-5a31831f-df4a-46d9-93d5-474a06bc217b.sock","DOCKER_CONTEXT":"default"},"containerId":"bc8a19ed15fd5e04613c25c6bed0e655c97bc11fc6e80dc3e83ab487a99be3d4","user":"python","sessionId":"558108b7-b1ed-442a-925c-92f485bed3b31748008587927","projectName":"enchiridion-backend","composeFiles":["/home/hiansdt/projects/c3labs/vita/enchiridion-backend/docker-compose.yml","/home/hiansdt/projects/c3labs/vita/enchiridion-backend/.devcontainer/docker-compose.yml"],"service":"app","logLevel":2,"delay":10000}}]
[2025-05-23T13:59:51.305Z] Received message: []
[2025-05-23T14:00:51.310Z] Received message: []
[2025-05-23T14:01:51.314Z] Received message: []
[2025-05-23T14:02:51.317Z] Received message: []
[2025-05-23T14:03:51.320Z] Received message: []
[2025-05-23T14:04:51.324Z] Received message: []
[2025-05-23T14:05:51.328Z] Received message: []
[2025-05-23T14:06:51.333Z] Received message: []
[2025-05-23T14:07:51.336Z] Received message: []
